msb,post_url,Q_regex,A_regex,Eq,Ea,Ec
49,https://stackoverflow.com/questions/1537825,(\[\[)(.*)(\]\]),(\[\[)(.*?)(\]\]),[],[],"['[["" for start and ""]]', '[[MyOtherText]]', '[[MyText]]', '[[ Something...[[MyText]]']"
50,https://stackoverflow.com/questions/17602048,\$(\d*\.?\d+?),"\$\d{1,3}(,?\d{3})*(\.\d{2})?","['$1000.0', '$100.0']","['$1,000.00']","['$1', '$100.00', '$100']"
51,https://stackoverflow.com/questions/26658640,"[0-9]{0,3}\-[0-9]{0,5}\-[0-9]{0,1}","\d{4}-\d{1,6}-\d{2}",[],['2014-000000-01'],[]
52,https://stackoverflow.com/questions/44587181,([a-zA-Z]{1})([0-9]{3}),([a-zA-Z]\d{3}|\d[a-zA-Z]\d{2}|\d{2}[a-zA-Z]\d|\d{3}[a-zA-Z]),[],"['123d', '12d3', '99A9']",['f311']
53,https://stackoverflow.com/questions/15825714,"\s*\d{8}\s*\+*(,\s*\d{8},*)?","(\s*\d{8}\s*[+,]?\s*)*",[],"['12345678,12345678,12345678', '12345678 , 12345678 ,12345678']","['12345678 , 12345678']"
54,https://stackoverflow.com/questions/28159136,11\d{8},[^0-9](11[0-9]{8})[^0-9],['1128647953'],['t1128647953t'],['1128647953']
55,https://stackoverflow.com/questions/14691719,"\d+(\,\.\d+)?","\d+([,.]\d+)?",[],"['23.45', '1.1', '1.24', '1,156', '12,523']",['23']
56,https://stackoverflow.com/questions/14361617,"[\\w][\\w\\,\\s\\w]","(\S)+, (\S)+","['w\\', '\\,', '\\\\']","['lastname, firstname']",[]
57,https://stackoverflow.com/questions/7547383,\d+(\.\d+)+,[^\.0-9]+,[],['Since IPv'],[]
58,https://stackoverflow.com/questions/21188249,"[A-Z]+[A-Za-z0-9_,""#;.() \t]+[.]",[A-Z]{1}[^.]*.,[],['Any tips how to fix it?'],[]
59,https://stackoverflow.com/questions/29378192,"[^-\s].{8,20}","[^-\s]{8,20}","[""I'm trying to create"", ',20}$ to no avail...', 'a Regular Expression', 'for a password field.', 't no spaces allowed.', 'The requirements are', ""I've tried ^[^-\\s].{8"", '8 - 20 characters, bu']","['password', 'avail...', 'allowed.']","['requirements', 'characters,', '\\s].{8,20}$', 'Expression']"
60,https://stackoverflow.com/questions/39385326,(\d{6}|\d{7}|\d{8}),"[A-Za-z][A-Za-z\d]{1,3}\s\d[A-Za-z]{2}",[],"['BH6 5BG', 'CH11 2ab', 'b6 7ba']",[]
61,https://stackoverflow.com/questions/27250347,[0-9]{4},\.\s*([0-9]{4})\s*\.,"['1920', '1930', '1900']",['. 1900.'],[]
62,https://stackoverflow.com/questions/11851123,s*n*o*w*,s+n+o+w+,"['ss', 'sssooooowwww', 'no', 'sssnnn', 'ow']",[],"['ssssnnnowww', 'snow']"
63,https://stackoverflow.com/questions/45579671,(\{\{.*\}\})+,\{\{(\w+)?\}\},[],[],"['{{data2}}', '{{data1}}', '{{disabled}}', '{{contentStyle}}']"
64,https://stackoverflow.com/questions/56164635,[A-Z][a-z]*((\\s[A-Za-z])?[a-z]*)*,([A-Z]\w*\s*)+,[],['To Make'],['Za']
65,https://stackoverflow.com/questions/40370552,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?),['321.222.11.4'],[],['21.222.11.4']
66,https://stackoverflow.com/questions/47621880,\d:[0-5]\d,(([0-5][0-9])|([0-9]))(:[0-5][0-9]),[],['12:55'],['2:55']
67,https://stackoverflow.com/questions/27197775,A(\w)+,[A-Z]\w*,[],"['My', 'Yes', 'How', 'Example']",[]
68,https://stackoverflow.com/questions/23547258,\d\.\d\d,[0-9]+(\.[0-9]*)?,[],['450.00'],['4.50']
69,https://stackoverflow.com/questions/3730578,1+(2-3)*(4/5),[0-9+*/()-]*,[],"['+)', '*/', '+-', '0-9', '1+(2-3)*(4/5)']",[]
70,https://stackoverflow.com/questions/18401017,"\d{5,6}\|?\d{5,6}?","\d{5,6}(\|\d{5,6})*",[],['34786|235652|12876'],[]
71,https://stackoverflow.com/questions/50810846,"(\(00\d{2}\)|\(\+\d{2}\)|00\d{2}|\+\d{2})[\. ]?3\d{2}[\. \-]?\d{2,4}[\. \-]?\d{2,4}",(\+|00)39\.[0-9]+\.[0-9]+,[],['+39.1234.325636'],['+39.321.1234567']
72,https://stackoverflow.com/questions/21927479,(#)([:alpha:]+),#(\d|\w|_)+,[],"['#_sample123', '#sample', '#123_sample', '#sample_123']",[]
73,https://stackoverflow.com/questions/681357,[1-50],(0?[1-9])|([1-4][0-9])|(50),[],['06'],[]
74,https://stackoverflow.com/questions/49219306,\d{4},"([0-9]+\/[0-9]+)\,([0-9]+\/[0-9]+)",[],"['1/2,4/6']",[]
75,https://stackoverflow.com/questions/35717163,[A-Z]{2},(.*?[A-Z]){2}.*,[],[],[]
76,https://stackoverflow.com/questions/31456319,(0?[1-9][1-9][0-9]),([TU]-)?[1-9][0-9]?|[TU],[],"['U-99', '99', 'T-1', 'T-99', 'U-1']",[]
77,https://stackoverflow.com/questions/30800074,(100\.00|[1-9]?\d\.\d{2}),"((|0|[1-9]\d?|100)(\.\d{1,2})?)",[],"['.00', '.1', '.11', '.2', '10', '0.1']",[]
78,https://stackoverflow.com/questions/58874430,(\d{9}),\d{10},"['490177334', '803000000']","['4901773349', '8030000000']",[]
79,https://stackoverflow.com/questions/49138673,"(\\w*)\\2{3,}(\\w*)",(.)\1{2},[],['sss'],[]
80,https://stackoverflow.com/questions/48457159,\+[0-9]+,(\+(1|2|44)|99)[0-9]+,"['+0046546543', '+1', '+2', '+946546543', '+44']",['9946546543'],"['+246546543', '+1465465423646', '+4421326546546654654', '+24654654321323']"
81,https://stackoverflow.com/questions/24254254,\*#\*0##\*13\*32\*(.*)#9##,([0-9][0-9][0-9]+),[],['702442500'],[]
82,https://stackoverflow.com/questions/25113729,"[1-9]\d*(,\d+)?","[-+]?[0-9]*,?[0-9]+",[],"['-9', '0,001', '0,01']","['123,01', '123456789,01']"
83,https://stackoverflow.com/questions/59241615,"[A-Z]+\b[',']\s[A-Z]{1}[a-z]+\b(\s([A-Z][a-z]+\b))?","[A-Z][A-Z' ]+(-[A-Z' ]+)*, [A-Z][a-z]+( \([A-Za-z]+\))?",[],"['SMITH-JONES, John', 'ZETA-JONES, Catherine (Kate)', 'CARTER, James (Jimmy)', 'CLINTON, William (Bill)']","['TRUMP, Donald', 'BUSH, George']"
84,https://stackoverflow.com/questions/4853949,[0-9a-zA-Z]+,[0-9a-zA-Z ]+,[],"['So I', 'I am using', 'it fails to validate', 'Summer holiday', 'Example of a search that is not working']","['9a', 'zA', 'ValidationExpression']"
85,https://stackoverflow.com/questions/9009414,\\@{3}(\\s* \\w \\s*)\\@{3},([^@])@{3}\s*[_A-Z]+\s*@{3}([^@]),[],"['@@@ CAT_DOG   @@@', '@@@   CAT   @@@', '@@@CAT@@@', '@@@XXX@@@', '@@@    CAT@@@']",[]
86,https://stackoverflow.com/questions/42479368,"(\d[\s-]*){5,}[\W]","\d[ \d-]{3,}\d","['123-4567-890""', '12345 67890 11121""', '12345-62436-223434""', '12345-67890-11121""', '12345 6789 123232""']","['12345 6789 123232', '12345-62436-223434', '12345-67890-11121', '123-4567-890', '12345 67890 11121']",[]
87,https://stackoverflow.com/questions/1685892,[0-9]+-[0-9]+,[\d]+:?[\d]*,"['70-60', '100-90', '0-9', '50-40']","['40', '50', '90', '60', '70', '100']",[]
88,https://stackoverflow.com/questions/33091621,(([A-Z])([a-zA-Z])* (([A-Z])([a-zA-Z])*)*),[A-Z][a-zA-Z]*( [A-Z][a-zA-Z]*)*,[],"['But', 'XSD', 'So', 'PS', 'The', 'What']",['XML Schema']
89,https://stackoverflow.com/questions/32923611,[a-zA-Z]{3}\d{8}|([a-zA-Z]{2}\d{9}|[a-zA-Z]{2}\d{8}),\w{2}\d{5}.\d{3}|.{4}\d{4}.?\d,['ABC99999999'],"['BHGD99999', 'AA999999', 's BB99999', 's AD999999', 'BA999999', 'ABC999999', 'BHA-9999#9']",[]
90,https://stackoverflow.com/questions/15262373,Sec\.\s\d+\.\d+\.,Sec\. [A-Z\d]+\.([A-Z\d]+\.)?\s?,[],"['Sec. I.5B.', 'Sec. 611.', 'Sec. 50D.001.', 'Sec. I.2.', 'Sec. 12A.152.', 'Sec. 12A.002.']","['Sec. 1.01.', 'Sec. 47.06.', 'Sec. 71.022.']"
91,https://stackoverflow.com/questions/26780558,[^A-Za-z],(=[A-Z])(\w|\%20|\.)+,[],"['=Atlanta%20at%20Tampa%20Bay%20', '=Pittsburgh%20at%20NY%20Jets%20', '=Miami%20at%20Detroit%20', '=Cleveland%20at%20Cincinnati%20', '=Carolina%20at%20Philadelphia%20', '=Tennessee%20at%20Baltimore%20', '=NY%20Giants%20at%20Seattle%20', '=Chicago%20at%20Green%20Bay%20', '=Denver%20at%20Oakland%20', '=Dallas%20at%20Jacksonville%20', '=St.%20Louis%20at%20Arizona%20', '=Kansas%20City%20at%20Buffalo%20']",[]
92,https://stackoverflow.com/questions/8385971,"\w{4,11}",".{4,11}",[],"['""Ã¥"" (dani', 'trol: ^\\w{4', 'sh characte', 'and 11. I', 'uggestions?', 'e ""Ã¦"" ""Ã¸""', 'gex on a Re', 'fine. It a', 'I have a re', 'racters lik', 'rs).  Any s', 'would like', 'or .NET con', 'it to allow', 'space and', 'tring lengt', 'special cha', 'llows the s', ',11}$ Works', 'h between 4']","['gularExpres', 'sionValidat']"
93,https://stackoverflow.com/questions/6810957,[a-zA-Z]([a-zA-Z0-9]+[._-]?[a-zA-Z0-9]+)+,[a-zA-Z]([._-]?[a-zA-Z0-9])*,[],"['on', 'a-zA-Z', 'me', 'am', 'be', 'So', 'it', 'of', 've', 'a-zA-Z0-9', 'or', 'no', 'It', 'to', 'an', 'by', 'at', 'in']","['chopping', 'starts', 'Any', 'create', 'dash', 'getting', 'working', 'specifications', 'period', 'purposes', 'first', 'taking', 'can', 'underscore', 'might', 'help', 'letters', 'letter', 'time', 'couple', 'only', 'not', 'between', 'following', 'actually', 'trying', 'invalid', 'special', 'inputs', 'but', 'character', 'But', 'must', 'one', 'with', 'characters', 'For', 'Examples', 'SPIDY', 'that', 'this', 'username', 'regex', 'underscores', 'standard', 'second', 'for', 'followed', 'Spidy', 'use', 'and', 'EDIT', 'way', 'more', 'rule', 'shortened', 'american', 'using', 'usually', 'valid', 'Spidy.Man', 'numbers', 'these', 'being', 'was', 'user', 'Ama-za-zing_Spidy', 'alphanumeric', 'repeated', 'hoping', 'entire', 'lowercase', 'alphabet', 'ends', 'results', 'tried', 'always', 'returned', 'the', 'Thanks', 'alphabetic', 'The', 'last', 'uppercase', 'string', 'expected', 'off', 'Extreme', 'matches', 'pattern', 'allows', 'repeats', 'version', 'English', 'initial', 'two']"
94,https://stackoverflow.com/questions/53083328,(([A-Za-z_][A-Za-z0-9_]*)[ \t]*),\(\s*([A-Za-z_][A-Za-z0-9_]*)\s*\),"['Za', 'parentheses', 'spaces', 'Any', 'it', 'problem', 'can', 'z0', 'help', 'contain', 'between', 'used', 'appreciated', 'trying', 'without', 'want', 'before', 'name', 'match', 'get', 'the', 'The', 'after', 'file_name', 'any', 'is', 'with', 'that', 'example', 'regex', 'to', 'z_', 'matches', 'and', 'file', 'two']",['(   file_name    )'],[]
95,https://stackoverflow.com/questions/29050646,([a-z]+\w*){5},"[a-z]\w{0,4}","['string', 'starts', 'character', 'express', 'abc123456deftjfklajdfkj239', 'charactersContinues', 'matches', 'characterswhole', 'characters', 'length', 'expression']","['care', 'dfkj2', 'es', 'be', 'abc12', 'what', 'cter', 'an', 'not', 'want', 'at', 'bove', 'text', 'than', 'non', 'ss', 'with', 'as', 'that', 'word', 'to', 'won', 'ues', 'and', 'more']","['expre', 'least', 'chara', 'every', 'doesn', 'strin', 'about', 'ontin', 'fklaj', 'cters', 'start', 'whole', 'ssion', 'deftj', 'begun', 'match', 'lengt']"
96,https://stackoverflow.com/questions/4408066,"\""[a-z\.]+\""",[a-z]+,[],"['ind', 'using', 'dialog', 'all', 'upper', 'letters', 'someway', 'only', 'try', 'following', 'strings', 'contains', 'lower', 'the', 'get', 'studio', 'find', 'ut', 'both', 'with', 'that', 'to', 'case', 'wrong', 'iles', 'regexp', 'visual', 'quoted', 'and', 'in']",[]
97,https://stackoverflow.com/questions/59139978,[a-z0-9.-\/],[a-z0-9\.\-\/]*,[],"['dashes', 'be', 'of', 'numbers', 'what', 'help', 'letters', 'just', 'slashes', 'his', 'forward', 'had', 'fails', 'trying', 'but', 'match', 'ny', 'non', 'alpha', 'the', 'is', 'or', 'write', 'dots', 'string', 'regex', 'appreciated.', 'to', 'some', 'could', 'failing', 'a-z0-9.-', 'validation.', 'and', 'characters.', 'more']",[]
98,https://stackoverflow.com/questions/12553080,"\w+|""[^""]+""","[^\s""]+|""[^""]+""",[],"['/g)', ':(/\\w+|', ']+']","['like', 'improve', 'quotes.', 'how', 'working', 'it', ""isn't"", 'chars', 'enclosed', 'problem', '""[^""', 'ignoring', 'trying', 'is,', 'accented', 'by', 'but', 'etc.', 'my', 'whitespaces', 'am', 'the', 'So', 'whitespaces,', 'Ã¡', 'with', 'please', 'expression', 'string', 'that', 'this', 'to', 'work?', 'split', 'should', 'googled', 'javascript', 'regular', 'make', 'in']"
99,https://stackoverflow.com/questions/2821419,[a-zA-Z]\w[a-zA-Z1-9_],[A-Za-z][A-Za-z0-9]*(_[A-Za-z0-9]+)*,[],"['specifies', 'be', 'it', 'doesn', 'properly', 'underscore', 'repeated', 'letter', 'only', 'since', 'know', 'start', 'thing', 'trying', 'number', 'also', 'have', 'there', 'text', 'character', 'every', 'last', 'with', 'is', 'or', 'write', 'characters', 'requirements', 'expression', 'that', 'moment', 'zA', 'this', 'to', 'underscores', 'specify', 'work', 'should', 'matches', 'which', 'At', 'allows', 'regular', 'ever', 'seem', 'in', 'Z1']","['row', 'not', 'how', 'the', 'for', 'end', 'don', 'and', 'but']"
100,https://stackoverflow.com/questions/23128803,[A-Z][A-Z0-9]*(_[A-Z0-9]+)*,[a-z][a-z0-9]*(_[a-z0-9]+)*,"['XSD', 'XML', 'SE', 'Z0']","['on', 'starts', 'remind', 'here', 'written', 'be', 'hat', 'validation', 'first', 'naming', 'can', 'underscore', 'conventions', 'description', 'letter', 'has', 'an', 'only', 'into', 'programming', 'are', 'he', 'wanted', 'very', 'would', 'question', 'words', 'thing', 'asked', 'research', 'lower', 'my', 'classic', 'out', 'you', 'restrict', 'style', 'check', 'where', 'find', 'with', 'is', 'rarely', 'will', 'that', 'this', 'regex', 'sake', 'underscores', 'to', 'some', 'process', 'could', 'for', 'everything', 'which', 'debate', 'use', 'designed', 'surprised', 'software', 'coding', 'using', 'it', 'of', 'numbers', 'them', 'specific', 'what', 'was', 'about', 'database', 'lot', 'part', 'keys', 'used', 'been', 'described', 'by', 'imported', 'closest', 'the', 'list', 'ava', 'or', 'as', 'fields', 'convention', 'reference', 'case', 'even', 'important', 'variables', 'separated', 'in']",[]
